IDENT;SEXO;ESTUDIOS_PADRE;ESTUDIOS_MADRE;EST_B2_2;EST_M1;EST_B11_2;EST_B11_3
6810;1;8;8;2;1;1;2
6811;1;4;4;1;2;1;2
6812;2;8;8; ;1;1;2
6813;2;8;8;2;1;1;2
6814;2;5;3;1;1;1;2
6815;2;5;5;2;1;1;2
6816;2;8;8; ;1;1;2
6817;2;8;8;1;1;2;2
6818;2;5;5;2;2;2;2
6819;2;8;8;2;1;1;2
6820;2;7;4;2;2;1;2
6821;2;4;8;2;1;1;2
6822;2;8;8;2;1;1;2
6823;2;5;4;2;1;1;2
6824;2;6;6; ;2;1;2
6825;2;2;3; ;1;1;2
6826;2;4;4;2;1;1;2
6827;2;6;8; ;1;1;2
6828;2;8;8; ;1;1;2
6829;1;8;5;2;2;1;2
6830;2;3;3;2;1;1;2
6831;2;4;3; ;2;2;2
6832;2;8;5;2;1;1;2
6833;1;7;4;2;2;1;2
6834;1;4;2;1;2;1;2
6835;1;8;7; ;2;1;2
6836;2;8;8; ;1;1;2
6837;2;4;6; ;1;1;2
6838;2;3;3;2;1;1;2
6839;2;5;8;2;1;1;2
6840;2;4;8;2;1;1;2
6841;2;6;5;2;2;1;2
6842;2;3;3;1;1;1;2
6843;1;7;6;2;1;2;2
6844;1;8;8; ;2;2;2
6845;1;2;2; ;2;2;2
6846;2;4;4; ;2;1;2
6847;1;2;3;2;1;1;2
6848;2;8;8; ;1;1;2
6849;2;4;4;2;2;1;2
6850;2;5;8;2;2;1;2
6851;2;5;8; ;2;1;2
6852;1;4;5;2;1;1;2
6853;2;8;8; ;2;1;2
6854;1;9;9; ;2;1;2
6855;1;4;4;2;1;1;2
6856;1;4;4;2;1;1;2
6857;1;5;6;2;2;1;2
6858;2;3;3;2;2;1;2
6859;2;8;4; ;2;1;2
6860;2;5;8;2;1;1;2
6861;2;4;7;2;1;1;2
6862;2;5;5;1;1;1;2
6863;2;8;8;2;1;1;2
6864;2;3;2;2;1;1;2
6865;2;3;3;2;1;1;2
6866;2;7;4;2;1;2;2
6867;2;3;3;2;2;1;2
6868;1;4;4; ;1;1;2
6869;2;3;6; ;2;1;2
6870;2;5;9;2;2;1;2
6871;2;5;5;2;1;1;2
6872;2;7;4;2;2;1;2
6873;2;3;3;2;1;1;2
6874;2;4;5; ;1;1;2
6875;2;3;4;2;1;1;2
6876;2;5;6;2;2;1;2
6877;2;5;5;2;1;1;2
6878;2;5;6; ;2;1;2
6879;2;3;3; ;1;2;2
6880;2;5;5;2;2;1;2
6881;2;5;5; ;2;1;2
6882;2;8;8; ;1;1;2
6883;2;4;4;2;2;2;2
6884;2;2;3;2;2;1;2
6885;2;7;7;2;2;1;2
6886;2;5;4;2;1;1;2
6887;2;3;3;2;1;1;2
6888;2;8;4;2;2;1;2
6889;2;3;5;2;2;1;2
6890;2;7;7; ;1;1;2
6891;2;8;4; ;2;1;2
6892;2;8;8; ;2;2;2
6893;1;2;2; ;2;1;2
6894;1;8;6; ;2;1;2
6895;2;3;2; ;2;2;2
6896;2;4;4; ;2;2;2
6897;1;6;5; ;2;1;2
6898;1;5;5; ;1;1;2
6899;2;4;6;2;1;1;2
6900;2;6;6; ;2;2;2
6901;2;5;5;2;1;1;2
6902;2;8;8;2;1;2;2
6903;1;5;3; ;2;1;2
6904;1;8;6;2;1;1;2
6905;2;4;5;2;2;1;2
6906;2;3;3;2;1;1;2
6907;1;5;5;2;1;1;2
6908;2;9;9; ;2;2;2
6909;2;8;5;2;2;2;2
6910;2;5;5; ;2;1;2
6911;1;4;4;1;1;1;2
6912;2;6;6;2;2;1;2
6913;2;4;6;2;1;1;2
6914;2;4;6;2;1;1;2
6915;2;8;3;2;2;1;2
6916;2;4;6;2;1;1;2
6917;2;8;4;2;1;1;2
6918;2;5;6;2;2;1;2
6919;1;8;4; ;2;1;2
6920;2;8;5; ;1;1;2
6921;2;7;8; ;2;1;2
6922;1;5;2; ;2;1;2
6923;1;3;3; ;2;2;2
6924;1;4;8; ;2;2;2
6925;2;7;8; ;2;1;2
6926;2;6;6; ;2;2;2
6927;2;8;5;2;1;1;2
6928;2;7;5; ;1;1;2
6929;2;6;8;2;2;1;2
6930;2;5;5; ;2;1;2
6931;2;8;8;2;2;1;2
6932;2;3;3;2;1;2;2
6933;1;8;5; ;2;1;2
6934;2;8;8; ;1;2;2
6935;2;5;4; ;2;1;2
6936;2;5;3;2;1;2;2
6937;2;5;2;2;2;1;2
6938;2;6;6;2;1;1;2
6939;2;3;2;2;2;1;2
6940;2;8;8; ;1;1;2
6941;2;5;5;2;2;2;2
6942;2;3;3; ;1;1;2
6943;1;2;3; ;2;2;2
6944;2;4;3; ;2;2;2
6945;2;5;4; ;2;1;2
6946;2;6;3;2;1;2;2
6947;2;8;8;2;1;1;2
6948;2;3;3;2;2;1;2
6949;2;3;3;2;2;1;2
6950;2;4;8; ;2;2;2
6951;2;9;7; ;2;2;2
6952;2;7;3;2;1;1;2
6953;1;4;4;2;2;1;2
6954;2;7;4;2;2;1;2
6955;2;7;7; ;2;1;2
6956;2;3;3;2;2;2;2
6957;1;7;3; ;1;1;2
6958;2;5;5; ;2;1;2
6959;2;7;4;2;2;1;2
6960;2;6;6; ;2;1;2
6961;2;4;6;1;2;1;2
6962;2;3;5;2;1;1;2
6963;2;8;8;2;1;1;2
6964;2;8;7;2;1;1;2
6965;2;6;4;2;2;1;2
6966;2;4;6;2;1;2;2
6967;2;8;6;2;2;2;2
6968;2;8;7; ;1;1;2
6969;2;6;8;2;1;1;2
6970;1;8;7; ;1;2;2
6971;2;9;9; ;2;1;2
6972;1;4;4;2;1;1;2
6973;1;8;8; ;2;1;2
6974;2;7;7;2;1;1;2
6975;2;5;4;2;1;1;2
6976;2;5;7;2;1;1;2
6977;2;8;8;2;1;1;1
6978;2;6;6; ;1;1;2
6979;2;5;8;2;1;1;2
6980;2;4;6; ;2;1;2
6981;2;8;8;2;1;1;2
6982;1;5;5;2;1;2;2
6983;1;9;9;2;2;1;2
6984;2;7;7;2;1;1;2
6985;2;8;9;2;1;1;2
6986;2;7;6;2;1;1;2
6987;2;8;8;2;1;1;2
6988;2;4;7;2;1;1;2
6989;1;9;3; ;2;1;2
6990;2;3;3; ;2;2;2
6991;1;6;6;2;1;1;2
6992;1;8;3; ;2;2;2
6993;1;4;7; ;2;2;2
6994;2;5;5;2;2;1;2
6995;2;8;8; ;1;1;2
6996;2;6;8;2;1;1;2
6997;2;4;6; ;2;1;2
6998;2;4;4; ;2;1;2
6999;1;3;3; ;2;2;2
7000;2;2;2;2;2;1;2
7001;2;4;6; ;2;1;2
7002;2;4;4;2;1;1;2
7003;2;5;8; ;1;1;2
7004;2;8;6;1;1;1;2
7005;2;8;8;2;1;1;2
7006;2;5;5;2;1;2;2
7007;1;7;7;2;1;2;2
7008;2;8;8; ;1;2;2
7009;2;3;6; ;2;1;2
7010;2;8;6;2;1;1;2
7011;2;5;3;2;2;1;2
7012;2;8;3; ;2;2;2
7013;2;6;8;2;1;1;2
7014;1;3;4;2;2;1;2
7015;1;4;4; ;2;1;2
7016;1;4;4; ;2;1;2
7017;1;3;3;1;1;1;2
7018;2;3;3;2;2;1;2
7019;2;8;8; ;2;1;2
7020;2;7;8;2;1;1;2
7021;2;6;4; ;1;1;2
7022;2;8;8;1;2;1;2
7023;2;4;4;2;2;1;2
7024;1;7;4;2;1;1;2
7025;1;3;3;1;1;1;2
7026;2;3;2;2;2;1;2
7027;1;3;5;2;2;1;2
7028;1;4;4;2;2;1;2
7029;1;4;4;2;2;1;2
7030;1;9;5;1;2;1;2
7031;1;4;3;2;2;1;2
7032;1;2;3;2;1;1;2
7033;1;6;4;2;2;1;2
7034;1;8;7;2;2;1;2
7035;1;9;5;1;2;1;2
7036;1;8;4;2;2;1;2
7037;2;3;8;2;2;1;2
7038;2;3;5;2;2;1;2
7039;2;5;5; ;2;1;2
7040;1;3;3; ;2;2;2
7041;1;3;3;2;1;2;2
7042;2;4;6;2;2;1;2
7043;2;6;6;2;1;1;2
7044;1;5;4;2;1;2;2
7045;1;7;7; ;2;1;2
7046;1;8;8; ;2;1;2
7047;1;8;8; ;2;2;2
7048;2;4;5;2;2;1;2
7049;2;4;8;2;2;1;2
7050;2;3;3;2;2;1;2
7051;2;4;5; ;2;1;2
7052;2;5;5; ;1;2;2
7053;1;5;4; ;2;1;1
7054;2;5;8;2;2;2;2
7055;2;6;7;1;2;1;2
7056;2;6;4;2;2;2;2
7057;2;4;4;2;2;1;2
7058;1;8;8; ;2;2;2
7059;2;5;8;2;1;1;2
7060;1;5;5;2;2;1;2
7061;2;4;7; ;2;2;2
7062;1;4;4; ;2;1;2
7063;2;4;4;2;2;1;2
7064;1;8;3; ;2;2;2
7065;2;3;4;2;2;1;2
7066;2;2;7;2;2;1;2
7067;2;8;8; ;2;1;2
7068;1;8;8; ;2;1;2
7069;1;5;4;2;2;1;2
7070;2;5;3; ;2;2;2
7071;1;3;8;2;2;1;2
7072;1;4;4;2;2;1;2
7073;2;8;8;1;2;1;2
7074;2;4;3; ;2;1;2
7075;1;3;3;2;2;1;2
7076;2;8;5; ;1;2;2
7077;2;8;8; ;2;1;2
7078;1;8;8; ;2;1;2
7079;2;8;8; ;1;1;2
7080;2;4;4;2;2;1;2
7081;2;3;5; ;2;2;2
7082;2;8;7;1;2;1;2
7083;2;9;9;2;1;1;2
7084;2;2;5;2;2;2;2
7085;2;9;3; ;2;1;2
7086;2;6;2; ;2;1;2
7087;1;4;6;2;2;2;2
7088;1;8;8; ;1;1;2
7089;1;3;8;2;1;1;2
7090;2;4;3;2;2;1;2
7091;2;4;4;2;1;2;2
7092;2;9;9;2;1;1;2
7093;1;3;3; ;2;2;2
7094;1;4;4;2;2;1;2
7095;1;8;8; ;2;2;2
7096;2;6;4; ;2;1;2
7097;2;6;8; ;2;2;2
7098;2;8;8; ;2;2;2
7099;1;8;8;1;2;1;2
7100;2;4;4;2;1;1;2
7101;2;3;4;2;2;1;2
7102;2;7;7;2;1;1;2
7103;1;8;8;2;1;1;2
7104;1;6;2;2;1;1;2
7105;2;8;5;1;1;1;2
7106;1;8;8;2;1;2;2
7107;1;4;4; ;2;2;2
7108;1;3;3;2;1;1;2
7109;1;4;5; ;2;1;2
7110;2;9;5;2;2;1;2
7111;2;3;4; ;1;1;2
7112;2;2;3;2;1;1;2
7113;2;6;4; ;2;1;2
7114;1;4;3;1;2;1;2
7115;1;3;3; ;2;2;2
7116;1;5;8; ;1;1;2
7117;1;9;6; ;2;2;2
7118;1;7;8; ;1;1;2
7119;2;8;8;2;1;1;2
7120;2;3;4;2;1;1;2
7121;2;6;8;2;2;2;2
7122;1;8;5; ;1;1;2
7123;1;7;7; ;2;2;2
7124;1;1;2;2;1;2;2
7125;2;8;8; ;2;1;2
7126;1;8;8;1;1;1;2
7127;2;5;5;2;1;2;2
7128;2;8;8;2;1;1;2
7129;2;8;8; ;1;1;2
7130;2;3;6;2;1;1;2
7131;1;8;8; ;1;1;2
7132;2;2;4;2;1;1;2
7133;2;8;2; ;2;1;2
7134;2;4;3;2;2;1;2
7135;2;4;3;2;2;2;2
7136;2;6;6; ;2;1;2
7137;2;6;6;2;1;1;2
7138;1;8;8; ;1;1;2
7139;2;7;4;2;1;1;2
7140;1;3;2;2;1;1;2
7141;2;8;7; ;2;2;2
7142;2;8;9;2;1;1;2
7143;1;9;2;2;2;1;2
7144;2;8;8;2;2;1;2
7145;2;8;8; ;2;1;2
7146;1;3;3;2;2;1;2
7147;1;3;4; ;1;1;2
7148;2;8;6;2;1;1;2
7149;2;2;5; ;2;1;2
7150;2;8;4; ;2;1;2
7151;2;3;3;2;1;1;2
7152;1;2;3; ;2;2;2
7153;2;8;6; ;2;1;2
7154;2;8;8; ;2;1;2
7155;1;4;8;2;1;1;2
7156;2;6;4; ;1;2;2
7157;2;4;8; ;2;1;2
7158;2;4;4;2;2;2;2
7159;2;3;3; ;2;1;2
7160;1;7;8;2;1;1;2
7161;1;8;7; ;2;1;2
7162;1;7;7; ;2;1;2
7163;1;3;3;2;1;2;2
7164;2;8;8; ;2;2;2
7165;2;9;6; ;2;2;2
7166;1;2;3;2;2;1;2
7167;2;4;6; ;2;1;2
7168;2;8;9; ;2;1;2
7169;1;8;3; ;2;1;2
7170;1;3;3; ;1;1;2
7171;1;3;3; ;2;1;2
7172;1;7;8; ;1;1;2
7173;2;2;2;2;2;2;2
7174;1;7;7;2;1;2;2
7175;1;3;3;2;2;1;2
7176;1;6;6; ;2;2;2
7177;2;9;5;2;1;1;2
7178;2;7;4; ;2;1;2
7179;2;8;8; ;2;2;2
7180;2;3;3;2;2;1;2
7181;2;9;2; ;2;2;2
7182;2;8;4;2;1;2;2
7183;2;4;4; ;1;2;2
7184;1;2;2; ;2;2;2
7185;2;4;4;2;2;1;2
7186;2;4;5; ;2;1;2
7187;1;3;5;2;2;1;2
7188;2;4;4;2;2;1;2
7189;2;3;3; ;2;2;2
7190;1;3;1;2;1;1;2
7191;1;6;5;2;1;2;2
7192;2;7;8; ;1;1;2
7193;1;8;8;1;2;1;1
7194;2;5;8;2;1;2;2
7195;1;6;8; ;1;1;2
7196;1;7;6;1;1;1;2
7197;2;8;4;1;1;1;2
7198;2;8;5; ;2;1;2
7199;2;6;6;2;1;1;2
7200;2;3;6;2;1;1;2
7201;2;6;4;2;2;1;2
7202;2;3;3;2;1;1;2
7203;2;7;8;2;1;1;2
7204;2;4;6;2;1;1;2
7205;2;8;7;2;1;1;2
7206;2;8;7;2;2;2;2
7207;2;7;7;1;1;1;2
7208;2;8;7; ;1;1;2
7209;1;7;5;2;1;2;2
7210;2;8;8;2;2;2;2
7211;2;4;4;2;1;1;2
7212;1;4;4; ;2;2;2
7213;2;2;2; ;1;1;2
7214;1;3;6;2;1;2;2
7215;1;8;8;9;2;1;2
7216;2;3;3; ;1;1;2
7217;2;8;8;2;1;1;2
7218;2;8;8;1;1;1;2
7219;1;8;8; ;2;2;2
7220;2;5;3;2;1;1;2
7221;2;3;2; ;2;2;1
7222;2;7;8;2;1;1;2
7223;2;6;8;2;2;1;2
7224;2;4;4;2;1;1;2
7225;2;8;8; ;1;1;2
7226;2;7;5;2;2;1;2
7227;2;8;8; ;1;1;2
7228;1;4;4;2;1;2;2
7229;2;2;2;2;1;2;2
7230;1;4;4;2;1;2;2
7231;1;9;9;2;2;1;2
7232;1;8;7;2;1;1;2
7233;1;8;8;2;1;1;2
7234;2;8;8; ;1;1;2
7235;2;4;4;2;2;1;2
7236;2;8;8;1;1;1;2
7237;2;4;4;2;1;1;2
7238;2;8;8;2;2;1;2
7239;2;8;8; ;1;1;2
7240;2;7;8; ;2;1;2
7241;2;8;8; ;1;1;2
7242;2;8;8; ;2;1;2
7243;2;8;8; ;1;1;2
7244;2;8;8; ;1;1;2
7245;2;8;5;2;2;1;2
7246;2;8;7;2;1;1;2
7247;1;5;5;2;1;2;2
7248;1;4;8;2;1;2;2
7249;1;8;8; ;2;1;2
7250;1;3;6; ;2;1;2
7251;2;8;8;2;1;1;2
7252;2;4;3; ;2;2;2
7253;1;2;2; ;2;2;2
7254;2;6;5; ;1;2;2
7255;1;8;8;2;1;1;2
7256;1;3;3;2;1;1;2
7257;1;8;8; ;1;1;2
7258;2;8;8; ;2;1;2
7259;2;4;8;2;1;1;2
7260;2;6;8;2;1;1;2
7261;2;8;8;1;1;1;2
7262;2;8;8;2;1;1;2
7263;2;7;3;2;1;1;2
7264;2;4;4;2;2;1;2
7265;2;5;4;2;2;1;2
7266;2;4;3; ;1;1;2
7267;2;8;8;1;1;1;2
7268;2;8;8;2;1;1;2
7269;2;4;6;1;1;1;2
7270;1;7;6;2;1;1;2
7271;1;8;5;2;1;2;2
7272;2;3;5;2;1;2;2
7273;2;8;5;2;1;1;2
7274;1;8;8;1;1;1;2
7275;1;8;6; ;1;1;2
7276;1;6;6; ;1;1;2
7277;1;6;3; ;2;1;2
7278;2;7;8;2;2;1;2
7279;2;5;6; ;1;1;2
7280;2;5;4;2;1;1;2
7281;2;3;5;2;1;2;2
7282;2;4;4;2;2;1;2
7283;2;4;6;2;2;2;2
7284;2;8;8;1;1;1;2
7285;1;4;4; ;1;1;2
7286;2;7;7;2;1;1;2
7287;2;4;8;1;1;1;2
7288;1;4;6; ;1;1;2
7289;2;4;3; ;1;2;2
7290;2;9;3;2;1;1;2
7291;2;8;8;1;1;1;2
7292;1;9;9;2;2;2;2
7293;2;7;3;2;1;1;2
7294;1;5;5;2;1;1;2
7295;1;4;3;2;1;1;2
7296;1;9;5; ;1;2;2
7297;1;7;7;2;1;1;2
7298;2;6;3;1;1;2;2
7299;2;8;6;2;1;1;2
7300;2;9;8;2;1;1;2
7301;2;8;8;1;1;2;2
7302;2;3;3; ;1;2;2
7303;1;3;8; ;2;1;2
7304;1;8;8;2;1;2;2
7305;1;8;8;2;1;1;2
7306;1;6;6;2;1;1;2
7307;2;8;8; ;2;2;2
7308;2;5;4;2;2;1;2
7309;2;7;8;1;1;1;2
7310;2;8;8;2;1;1;2
7311;2;3;3; ;2;1;2
7312;2;7;4;2;1;1;2
7313;2;2;6; ;1;1;2
7314;2;4;5;2;2;1;2
7315;2;5;4;2;2;1;2
7316;2;8;8; ;2;1;2
7317;2;7;4; ;2;1;2
7318;2;9;3;2;1;2;2
7319;1;7;8; ;1;1;2
7320;2;5;7;1;1;1;1
7321;2;8;6;2;2;2;2
7322;2;4;4;2;1;2;2
7323;2;8;8; ;1;1;2
7324;2;4;4;2;1;2;2
7325;2;5;8;1;2;1;2
7326;2;9;8;2;2;1;2
7327;1;5;5; ;2;2;2
7328;1;6;4;2;2;1;2
7329;1;5;8;2;1;1;2
7330;2;5;3; ;1;1;2
7331;2;6;8;2;1;1;2
7332;2;4;9;2;1;1;2
7333;2;8;8;2;1;1;2
7334;2;4;4;2;1;1;2
7335;2;3;5;2;1;1;2
7336;2;8;5; ;2;2;2
7337;2;8;8; ;2;1;2
7338;2;7;7;2;1;1;2
7339;2;4;3;2;1;1;2
7340;2;4;6;2;1;1;2
7341;2;9;9;1;1;1;2
7342;2;8;8;2;1;1;2
7343;2;8;8;2;1;2;2
7344;2;6;6;2;1;1;2
7345;2;7;5;2;1;1;2
7346;1;8;6;2;2;1;2
7347;2;9;9; ;2;2;2
7348;1;8;7; ;2;1;2
7349;1;3;8; ;2;2;2
7350;2;3;6; ;2;1;2
7351;2;8;8;2;1;1;2
7352;2;4;3;2;1;1;2
7353;2;8;7;2;1;1;2
7354;1;8;8;2;1;1;2
7355;1;3;3;2;1;2;2
7356;1;8;8;2;1;1;2
7357;2;4;4;2;2;2;2
7358;2;7;7;2;2;2;2
7359;2;5;8; ;1;1;2
7360;2;8;6; ;2;1;2
7361;1;2;3;2;1;1;2
7362;2;7;7;2;1;1;2
7363;2;5;4;2;1;2;2
7364;2;4;4;2;1;1;2
7365;2;4;8;2;1;1;2
7366;2;6;6;2;1;2;2
7367;2;4;4;2;1;2;2
7368;1;8;5;2;2;2;2
7369;2;7;8; ;1;2;2
7370;2;4;5;2;2;1;2
7371;1;9;4; ;2;2;2
7372;1;8;4;2;2;2;2
7373;2;4;8;2;1;1;2
7374;1;5;5;2;1;1;2
7375;2;8;8; ;2;2;2
7376;1;6;6;2;1;1;2
7377;1;8;8;2;1;2;2
7378;2;9;9; ;2;2;2
7379;2;8;5;2;1;1;2
7380;2;4;5;2;1;1;2
7381;2;9;5; ;2;2;2
7382;1;7;5;2;2;1;2
7383;1;9;8; ;2;1;2
7384;1;8;8;2;1;1;2
7385;1;8;5;2;1;2;2
7386;1;8;8; ;2;1;2
7387;1;6;3; ;1;2;2
7388;2;5;8; ;2;1;2
7389;2;8;8; ;2;1;2
7390;2;5;4;2;1;2;2
7391;2;8;8; ;1;1;2
7392;2;5;8; ;1;2;2
7393;2;4;6;2;1;1;2
7394;2;8;8; ;1;1;2
7395;2;8;8; ;2;2;2
7396;2;4;4; ;2;1;2
7397;2;8;8;2;1;2;2
7398;1;9;9; ;1;2;2
7399;2;2;3; ;2;1;2
7400;2;8;5;1;2;2;2
7401;2;4;8;2;1;2;2
7402;2;8;8; ;1;1;2
7403;1;3;3; ;2;1;2
7404;1;4;6;2;2;1;2
7405;1;8;8;1;2;1;1
7406;1;5;5;2;2;2;2
7407;1;8;6;2;2;1;2
7408;1;4;7; ;2;1;2
7409;1;8;8; ;2;1;2
7410;1;3;4;2;1;1;2
7411;1;5;8;1;2;1;1
7412;1;6;8;1;1;1;2
7413;2;3;7;2;2;1;2
7414;2;5;5; ;2;1;2
7415;2;5;4;2;2;1;2
7416;2;5;5;2;2;1;2
7417;2;6;4;2;2;1;2
7418;2;4;4;2;2;1;2
7419;2;5;4;2;2;1;2
7420;2;6;4;2;2;1;2
7421;2;8;8;2;2;1;2
7422;2;8;5; ;2;1;2
7423;2;4;4;2;2;1;2
7424;2;4;3;2;1;1;2
7425;2;5;6; ;2;1;2
7426;2;4;3;2;2;1;2
7427;2;5;6;2;2;1;2
7428;2;4;4;2;2;1;2
7429;2;5;4; ;2;1;2
7430;2;8;6;2;2;1;2
7431;2;3;4;2;1;1;2
7432;2;5;5;2;2;2;2
7433;2;7;8;2;2;1;2
7434;2;8;5; ;2;1;2
7435;2;5;6; ;1;1;2
7436;2;8;8; ;2;1;2
7437;2;8;8;2;1;2;2
7438;2;8;8; ;1;1;2
7439;2;3;6; ;2;1;2
7440;2;3;3; ;2;1;2
7441;2;6;7; ;2;1;2
7442;2;6;4; ;2;1;2
7443;2;6;2;2;2;1;2
7444;2;4;7;2;2;1;2
7445;2;7;6;2;2;2;2
7446;2;4;4;2;2;2;2
7447;1;4;8; ;2;2;2
7448;1;3;3; ;1;2;1
7449;1;2;2; ;2;1;2
7450;1;8;8; ;2;1;2
7451;1;2;4; ;2;2;2
7452;2;8;8;1;2;1;2
7453;2;4;3; ;2;2;2
7454;2;3;3; ;1;1;2
7455;1;7;8;2;2;1;2
7456;2;7;8;2;1;1;2
7457;2;1;1; ;2;1;2
7458;2;3;5;2;2;1;2
7459;2;3;5;2;2;1;2
7460;2;2;2;2;2;1;2
7461;2;9;9;2;2;1;2
7462;2;2;5;2;2;1;2
7463;2;2;2;2;2;1;2
7464;2;8;6; ;2;1;2
7465;2;8;7;2;1;2;2
7466;2;9;9;2;2;1;2
7467;2;4;5;2;2;1;2
7468;2;5;7;2;2;1;2
7469;2;4;3;2;1;1;2
7470;2;8;5;2;2;1;2
7471;1;8;8;2;1;1;2
7472;1;3;3; ;2;1;2
7473;2;8;7; ;2;2;2
7474;2;3;4; ;2;1;2
7475;2;3;8; ;2;1;2
7476;1;3;3;2;2;1;2
7477;1;4;3;2;2;1;2
7478;1;4;9;2;1;1;2
7479;2;8;6;2;2;1;2
7480;2;5;8;2;2;1;2
7481;2;7;5; ;2;1;2
7482;2;8;8;1;2;1;2
7483;2;9;4;2;2;1;2
7484;2;8;4;2;1;1;2
7485;2;4;4;2;2;1;2
7486;1;8;9;2;1;2;2
7487;2;8;4;2;1;1;2
7488;2;5;5;2;1;1;2
7489;2;5;5;2;2;1;2
7490;2;7;7; ;2;1;2
7491;2;8;5;2;2;2;2
7492;1;3;8;2;2;1;2
7493;1;3;2;2;1;1;2
7494;1;8;6;2;2;1;2
7495;1;3;6;2;2;1;2
7496;2;3;6;2;2;1;2
7497;2;4;4;2;2;1;2
7498;2;8;8;2;1;1;2
7499;2;9;9;2;2;1;2
7500;2;3;4;1;2;1;2
7501;2;7;3;2;2;1;2
7502;2;8;8; ;2;1;2
7503;2;4;4;2;1;1;2
7504;1;7;7; ;2;1;2
7505;1;4;4;2;2;1;2
7506;2;8;8; ;2;1;2
7507;2;8;8;2;1;1;2
7508;2;8;5;2;1;2;2
7509;1;3;4; ;1;1;2
7510;1;4;4; ;2;1;2
7511;2;5;4;9;2;1;2
7512;2;8;8;2;1;1;2
7513;2;4;4;2;2;1;2
7514;2;7;8;2;2;1;2
7515;2;2;3;2;2;1;2
7516;2;9;8;2;2;1;2
7517;2;4;4;2;2;1;2
7518;2;9;6;2;2;1;2
7519;2;8;4;2;2;2;2
7520;2;8;8; ;1;1;2
7521;2;3;8;2;2;1;2
7522;2;4;4;2;2;2;2
7523;2;9;9;2;2;1;2
7524;2;7;4;2;2;2;2
7525;1;7;5;2;2;2;2
7526;1;7;5;2;2;1;2
7527;1;8;6;1;2;1;2
7528;2;5;6;2;2;1;2
7529;2;3;3;2;2;1;2
7530;2;9;4;2;2;1;2
7531;2;2;2;2;2;1;2
7532;2;8;4;2;2;1;2
7533;2;8;8;1;2;1;2
7534;1;2;2;2;2;1;2
7535;2;5;3; ;2;2;2
7536;2;8;5;2;2;1;2
7537;2;4;5; ;2;2;2
7538;2;3;4;2;2;1;2
7539;2;7;5; ;2;1;2
7540;2;8;8; ;1;1;2
7541;2;6;8;2;1;2;2
7542;2;8;3;2;1;1;2
7543;2;3;6;2;2;1;2
7544;2;9;9;2;2;1;2
7545;2;3;3;2;2;1;2
7546;1;6;6;2;2;1;2
7547;2;3;2;2;2;2;2
7548;2;5;5; ;2;2;2
7549;2;3;2;2;2;1;2
7550;2;3;3; ;2;1;2
7551;1;4;4;2;1;1;2
7552;2;8;8;2;2;1;2
7553;2;8;8; ;2;1;2
7554;2;3;8;2;2;1;1
7555;1;5;8;2;1;1;2
7556;1;8;8;2;2;1;1
7557;2;8;8; ;2;1;2
7558;2;3;4;2;2;1;2
7559;2;8;8; ;2;1;2
7560;2;4;4;2;2;1;2
7561;2;4;7;2;2;2;2
7562;2;4;7;2;2;1;2
7563;2;3;5; ;2;1;2
7564;2;2;3;2;2;1;2
7565;2;2;4; ;2;1;2
7566;2;4;4;1;2;1;2
7567;2;4;4;2;1;1;2
7568;2;3;7;2;2;2;2
7569;2;9;9;2;2;1;2
7570;2;8;8; ;2;2;2
7571;2;7;4;2;2;1;2
7572;2;8;8;1;1;1;1
7573;2;8;8; ;2;1;2
7574;2;6;7; ;1;1;2
7575;2;4;4;2;2;1;2
7576;2;7;5;2;2;1;2
7577;2;3;3;2;2;1;2
7578;1;8;8;2;1;1;2
7579;1;4;4; ;2;2;1
7580;1;2;9;2;2;1;2
7581;1;2;2; ;2;2;2
7582;2;3;2; ;2;2;2
7583;2;2;2; ;2;2;2
7584;1;8;5; ;2;1;2
7585;1;4;2;2;1;2;2
7586;1;7;8;2;2;2;2
7587;1;4;4; ;2;1;2
7588;2;4;4;2;2;1;2
7589;2;8;8; ;1;1;2
7590;2;8;3;2;2;1;2
7591;2;3;3;2;1;1;2
7592;2;5;8; ;2;1;2
7593;1;8;8; ;2;1;2
7594;1;2;2; ;2;2;2
7595;2;4;4; ;2;1;2
7596;2;4;7;2;1;1;2
7597;2;4;4;2;2;1;2
7598;2;9;8; ;2;1;2
7599;2;4;6;2;2;1;2
7600;2;8;8; ;2;1;2
7601;1;3;8; ;2;1;2
7602;2;3;8; ;2;1;2
7603;1;4;4; ;1;2;2
7604;2;3;9; ;2;1;2
7605;2;8;8; ;2;1;2
7606;2;8;4;2;2;1;2
7607;2;7;4; ;2;1;2
7608;2;9;9; ;2;1;2
7609;2;8;7; ;2;1;2
7610;2;2;3; ;2;1;2
7611;2;6;4; ;1;1;2
7612;2;3;5; ;2;1;2
7613;1;3;3; ;2;1;2
7614;1;4;5;2;2;2;2
7615;1;4;5;2;2;2;2
7616;1;2;2;2;2;1;2
7617;1;8;9; ;2;1;2
7618;2;4;4; ;2;2;2
7619;2;8;8;2;1;1;2
7620;2;4;4;2;2;1;2
7621;2;4;6; ;2;1;2
7622;2;4;6; ;2;1;2
7623;2;4;5;2;2;1;2
7624;2;4;4; ;2;1;2
7625;1;8;4;2;2;2;2
7626;1;9;4; ;1;1;2
7627;2;3;8; ;2;2;2
7628;2;2;2;2;2;1;2
