IDENT;SEXO;ESTUDIOS_PADRE;ESTUDIOS_MADRE;EST_B2_2;EST_M1;EST_B11_2;EST_B11_3
196;2;4;4; ;2;1;2
197;2;6;6;2;2;1;2
198;2;6;7;2;2;1;2
199;2;5;3;2;2;2;2
200;2;8;5; ;1;1;2
201;2;4;3; ;2;2;2
202;2;3;8; ;2;2;2
203;2;4;8; ;2;1;2
204;2;4;4; ;2;2;2
205;2;3;8;2;2;1;2
206;2;8;5; ;2;1;2
207;2;8;8;2;1;1;2
208;2;3;3;2;2;2;2
209;2;4;4;2;2;2;2
210;1;9;8;2;1;2;2
211;1;9;3;2;2;1;2
212;1;8;8; ;2;1;2
213;2;3;3; ;2;1;2
214;2;3;3;2;2;2;2
215;2;3;2;2;2;2;2
216;2;4;3; ;2;1;2
217;2;9;9; ;2;1;2
218;2;8;4; ;1;2;2
219;2;3;3; ;2;2;2
220;1;3;3; ;2;2;2
221;1;3;2; ;2;2;2
222;1;9;8; ;2;2;2
223;2;3;3; ;2;1;2
224;2;3;5; ;2;1;2
225;2;3;7; ;2;2;2
226;2;4;2; ;2;2;2
227;2;8;4; ;2;1;2
228;1;5;4; ;2;2;2
229;2;4;5;2;2;1;2
230;2;7;5;2;1;1;2
231;2;3;4;2;2;1;2
232;2;7;7; ;2;1;2
233;2;4;2;9;2;1;2
234;2;7;4; ;2;2;2
235;2;7;8;2;2;1;2
236;2;3;6;2;2;2;2
237;2;8;8; ;2;2;2
238;2;8;4; ;2;1;2
239;2;3;3;2;2;1;2
240;2;6;6;2;2;2;2
241;2;8;8; ;2;1;2
242;2;6;4;2;2;2;2
243;2;4;4;2;2;2;2
244;2;3;3;2;2;2;2
245;2;4;4;2;2;2;2
246;2;9;2;2;2;2;2
247;2;4;3;2;2;2;2
248;2;4;3;2;2;2;2
249;2;2;8; ;2;1;2
250;1;3;5;2;2;2;2
251;1;2;2;2;2;2;2
252;2;4;5;2;2;2;2
253;2;4;4;2;2;1;2
254;2;9;9;2;2;2;2
255;2;5;6; ;2;2;2
256;2;3;3; ;2;2;2
257;2;5;5;2;2;2;2
258;2;8;5;2;2;2;2
259;2;3;3; ;2;1;2
260;2;6;4; ;2;1;2
261;2;3;4; ;2;2;2
262;2;8;6; ;2;2;2
263;2;7;4; ;2;2;2
264;2;3;3;2;2;2;2
265;1;4;5;2;2;2;2
266;1;6;6;2;2;2;2
267;1;9;5;2;2;2;2
268;2;9;9;2;2;2;2
269;2;3;4;2;2;1;2
270;2;3;3;2;2;1;2
271;2;8;7; ;2;1;2
272;2;5;5; ;2;1;2
273;2;4;4; ;2;1;2
274;2;8;9;2;2;2;2
275;2;9;9; ;2;1;2
276;2;5;5; ;2;1;2
277;2;3;3;2;2;2;2
278;2;4;7;2;2;2;2
279;2;8;8; ;2;2;2
280;2;4;4;2;2;1;2
281;2;7;4; ;1;1;2
282;2;3;2;2;2;1;2
283;2;9;4; ;2;2;2
284;2;5;4;2;2;2;2
285;2;5;5;2;2;1;2
286;2;2;3;2;2;1;2
287;1;7;7;2;1;2;2
288;2;4;3;2;2;2;2
289;2;5;6;2;2;2;2
290;2;3;4; ;2;1;2
291;2;6;4;2;2;1;2
292;2;3;3;2;2;2;2
293;2;5;3;2;2;2;2
294;1;5;8; ;2;1;2
295;2;3;3; ;2;2;2
296;2;1;3;2;2;2;2
297;1;8;8; ;2;1;2
298;2;4;4;2;2;2;2
299;2;2;6;2;2;2;2
300;2;2;3;2;2;1;2
301;2;8;8;2;1;2;2
302;2;6;4;2;2;2;2
303;1;8;5; ;2;1;2
304;1;2;2;2;2;1;2
305;1;9;5;1;1;2;2
306;1;4;8; ;2;1;2
307;1;3;3;9;2;1;2
308;1;9;3;2;2;1;2
309;2;9;9;2;2;1;2
310;2;4;6; ;2;1;2
311;2;3;3;2;2;2;2
312;2;6;4; ;2;2;2
313;2;4;6; ;2;2;2
314;2;4;4;2;2;2;2
315;2;8;5;2;2;1;2
316;2;3;3;2;2;1;2
317;1;6;8;2;2;1;2
318;2;9;7; ;2;2;2
319;2;3;3;2;2;2;2
320;2;3;3;2;2;1;2
321;2;3;4;2;2;2;2
322;2;8;3;2;2;2;2
323;2;5;4; ;2;2;2
324;1;4;4;2;2;2;2
325;1;4;4;2;1;2;2
326;2;2;2; ;2;2;2
327;2;9;3;2;2;1;2
328;2;3;4;2;2;2;2
329;2;6;6; ;2;2;2
330;2;2;3; ;2;2;2
331;2;8;8;2;2;2;2
332;2;8;8; ;2;2;2
333;1;2;3; ;2;2;2
334;2;3;2; ;2;1;2
335;1;4;6;2;1;1;2
336;1;2;2;2;1;1;2
337;1;2;7;2;2;2;2
338;1;5;5; ;2;1;2
339;2;4;5;2;1;1;2
340;2;5;5; ;2;2;2
341;2;8;8; ;2;2;2
342;2;3;3;2;1;1;2
343;2;9;4;2;2;1;2
344;2;4;5;2;2;2;2
345;2;5;4; ;2;2;2
346;2;3;8;2;2;2;2
347;2;8;8;2;2;1;2
348;2;4;4;2;2;1;2
349;2;4;7;2;2;1;2
350;2;8;4;1;2;1;2
351;1;5;5;2;1;1;2
352;2;6;4; ;2;1;2
353;2;7;7;2;2;1;2
354;2;8;8; ;2;2;2
355;2;3;6;2;2;1;2
356;2;8;8;2;2;1;2
357;2;4;5; ;2;2;2
358;2;8;7;2;2;1;2
359;2;4;4; ;2;2;2
360;2;7;3;2;2;2;2
361;2;9;9; ;2;2;2
362;2;3;3; ;2;1;2
363;1;3;4; ;2;1;2
364;1;3;5; ;2;2;2
365;2;9;9;2;2;2;2
366;2;2;3; ;2;2;2
367;2;2;6; ;2;2;2
368;2;3;2;2;2;2;2
369;2;2;2; ;2;1;2
370;1;5;4; ;2;2;2
371;2;4;4; ;2;1;2
372;2;8;7;2;2;1;2
373;2;7;4;2;2;2;2
374;2;4;4;2;1;1;2
375;2;3;3;2;2;1;2
376;2;8;5; ;2;2;2
377;2;9;9;2;2;2;2
378;2;4;4;2;2;2;2
379;2;1;1;2;2;1;2
380;2;3;3;2;2;2;2
381;2;4;2; ;2;2;2
382;2;3;3; ;2;1;2
383;1;3;5; ;2;2;2
384;2;5;9; ;2;1;2
385;2;6;6;2;2;2;2
386;2;5;5;2;2;2;2
387;1;8;3; ;2;2;2
388;2;6;4; ;2;1;2
389;2;5;5;2;2;2;2
390;2;8;3; ;2;2;2
391;2;2;2; ;2;1;2
392;2;6;3; ;2;2;2
393;2;8;8; ;2;2;2
394;1;3;3;2;2;1;2
395;2;4;4;2;2;1;2
396;2;4;6;2;1;2;2
397;2;3;3;2;2;2;2
398;2;4;4;2;2;2;2
399;1;8;8; ;2;1;2
400;2;4;4; ;2;1;2
401;2;9;9;2;2;2;2
402;2;4;4;2;2;2;2
403;2;6;4;2;2;1;2
404;2;3;4; ;2;1;2
405;2;9;6; ;2;2;2
406;2;2;3;2;1;1;2
407;2;2;8; ;2;1;2
408;2;3;3; ;2;2;2
409;2;3;3; ;2;2;2
410;2;5;6;2;2;2;2
411;2;8;6; ;2;1;2
412;2;2;2;2;2;1;2
413;2;2;4;2;2;2;2
414;2;4;9;2;2;2;2
415;2;8;8; ;2;2;2
416;2;8;4;2;2;1;2
417;2;4;4; ;2;1;2
418;2;9;3; ;2;2;2
419;2;4;3;2;2;1;2
420;2;4;4;2;2;2;2
421;2;4;7;2;2;2;2
422;2;4;4;2;2;2;2
423;2;8;5; ;2;1;2
424;2;4;4;2;1;1;2
425;2;3;2;2;2;2;2
426;2;8;3; ;2;1;2
427;2;3;3;2;2;1;2
428;2;7;8; ;2;1;2
429;2;7;7; ;2;1;2
430;1;4;4;2;2;1;2
431;2;4;4; ;2;1;2
432;2;4;8; ;2;2;2
433;2;3;3; ;2;2;2
434;2;3;3; ;2;1;2
435;2;5;4; ;2;1;2
436;2;6;6;2;2;2;2
437;2;5;3;2;2;1;2
438;2;7;5;2;2;2;2
439;2;3;3;2;2;2;2
440;2;5;8;2;2;2;2
